n_dmb   m_dmb   sigma_dmb
    0     1e3    8.71e-21
    0       1    5.53e-24
    0    1e-2    5.24e-26
    0    1e-3    5.78e-27
    0    1e-4    2.29e-27
    0    1e-5    1.21e-27
    0    1e-6    9.90e-28
    2     1e3    4.15e-17
    2       1    2.02e-20
    2    1e-2    3.22e-22
    2    1e-3    3.36e-23
    2    1e-4    6.16e-24
    2    1e-5    6.21e-25
    2    1e-6    3.54e-26
    4     1e3    1.15e-13
    4       1    1.34e-16
    4    1e-2    5.73e-18
    4    1e-3    7.32e-19
    4    1e-4    4.80e-21
    4    1e-5    5.28e-23
    4    1e-6    8.48e-25
    6     1e3    6.88e-10
    6       1    5.73e-13
    6    1e-2    1.20e-14
    6    1e-3    4.34e-16
    6    1e-4    4.35e-18
    6    1e-5    8.38e-21
    6    1e-6    1.02e-23
   -2     1e3    4.09e-26
   -2       1    2.10e-29
   -2    1e-2    5.76e-31
   -2    1e-3    6.38e-32
   -2    1e-4    1.72e-32
   -2    1e-5    1.55e-32
   -2    1e-6    1.12e-32
   -4     1e3    5.43e-32
   -4       1    3.43e-35
   -4    1e-2    3.35e-37
   -4    1e-3    5.09e-38
   -4    1e-4    1.89e-38
   -4    1e-5    1.66e-38
   -4    1e-6    1.67e-38
